,FTR,HomeTeam,AwayTeam,HomeTeamWinStreak3,HomeTeamWinStreak5,HomeTeamLossStreak3,HomeTeamLossStreak5,AwayTeamWinStreak3,AwayTeamWinStreak5,AwayTeamLossStreak3,AwayTeamLossStreak5,IsHomeTeamRegulars,IsAwayTeamRegulars,IsHomeTeamRookie,IsAwayTeamRookie,HomeTeamWinRatio_Cat,AwayTeamWinRatio_Cat,HomeTeamPointsFromLast3Matches,AwayTeamPointsFromLast3Matches,HomeTeamPointsFromLast5Matches,AwayTeamPointsFromLast5Matches,HomeTeamPointsFromLast10Matches,AwayTeamPointsFromLast10Matches,HomeTeamLast1Match,AwayTeamLast1Match,HomeTeamLast2Match,AwayTeamLast2Match,HomeTeamLast3Match,AwayTeamLast3Match,HomeTeamLast4Match,AwayTeamLast4Match,HomeTeamLast5Match,AwayTeamLast5Match,HomeTeamLastYearPosition,AwayTeamLastYearPosition,HomeTeamGoalsDifference_Cat,AwayTeamGoalsDifference_Cat,TotalGoalsDifference_Cat,DifferenceTotalPoints_Cat,Difference10MatchesPoints_Cat,DifferenceInShoots_Cat,DifferenceInTargetShoots_Cat,DifferenceInCorners_Cat,HomeTeamTargetShootsMade_Cat,AwayTeamTargetShootsMade_Cat,HomeTeamGoalsScored_Cat,AwayTeamGoalsScored_Cat,HomeTeamGoalsLost_Cat,AwayTeamGoalsLost_Cat,HomeTeamShootsMade_Cat,AwayTeamShootsMade_Cat,HomeTeamCorners_Cat,AwayTeamCorners_Cat,HomeTeamTotalPoints_Cat,AwayTeamTotalPoints_Cat
1016,0,Aston Villa,Bolton,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,6,6,7,7,0,1,3,1,0,3,3,1,0,0,16.0,17.0,3,3,4,5,4,4,4,3,0,0,0,0,1,0,0,0,0,1,0,0
1017,0,Middlesbrough,Chelsea,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6,9,7,13,7,19,3,3,3,3,0,3,0,3,1,1,11.0,4.0,3,4,3,4,2,4,5,2,0,0,0,1,1,0,0,0,0,0,0,1
1018,0,Birmingham,Chelsea,0,0,0,0,0,0,0,0,0,1,0,0,3,0,6,9,10,13,14,19,0,3,3,3,3,3,1,3,3,1,13.0,4.0,3,4,4,5,3,4,4,2,0,0,0,1,0,0,0,0,0,0,1,1
1019,1,Arsenal,Chelsea,0,0,0,0,0,0,0,0,1,1,0,0,4,0,5,9,11,13,17,19,3,3,1,3,1,3,3,3,3,1,2.0,4.0,4,4,4,5,4,4,4,2,0,0,1,1,0,0,0,0,0,0,1,1
1020,0,Fulham,Wolves,0,0,0,0,0,0,0,0,0,0,0,1,3,4,7,4,9,5,15,5,1,3,3,1,3,0,1,0,1,1,14.0,18.0,4,2,5,6,6,5,5,3,0,0,1,0,0,1,0,0,0,0,1,0
1021,0,Leeds,Man United,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,7,6,10,8,19,3,3,0,3,0,1,0,3,3,0,15.0,1.0,3,4,3,4,2,4,4,2,0,0,0,1,1,0,0,0,0,0,0,1
1022,1,Man City,Bolton,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,5,7,12,8,0,1,1,1,1,1,3,3,0,1,9.0,17.0,3,3,5,5,5,4,4,2,0,0,1,0,0,1,0,0,0,1,1,0
1023,0,Middlesbrough,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,6,6,8,7,9,0,3,3,3,3,0,0,1,0,1,11.0,3.0,3,3,4,5,4,5,5,2,0,0,0,0,1,0,0,0,0,0,0,0
1024,1,Portsmouth,Liverpool,0,0,0,0,1,0,0,0,0,1,1,0,2,1,0,3,2,9,9,11,0,0,0,0,0,3,1,3,1,3,18.0,5.0,3,3,4,5,4,3,3,2,0,0,0,0,0,0,0,0,0,1,0,1
1025,0,Birmingham,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4,4,8,7,15,8,1,1,0,0,3,3,3,0,1,3,13.0,16.0,3,3,5,6,6,4,4,2,0,0,0,0,0,1,0,0,0,1,1,0
1026,0,Everton,Southampton,0,0,0,0,1,0,0,0,1,0,0,0,2,1,3,3,4,9,8,12,0,0,3,0,0,3,1,3,0,3,7.0,8.0,3,3,4,5,4,4,4,3,0,0,0,0,1,0,0,0,1,1,0,1
1027,0,Leicester,Tottenham,0,0,0,0,0,0,1,0,0,1,1,0,1,2,0,4,3,4,5,8,0,3,0,1,0,0,3,0,0,0,18.0,10.0,3,3,4,5,4,4,4,3,0,0,0,0,1,1,0,0,0,0,0,0
1028,0,Blackburn,Charlton,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,6,4,7,8,11,0,3,0,3,3,0,0,0,1,1,6.0,12.0,3,3,4,5,4,5,5,3,0,0,1,0,1,1,0,0,0,0,0,1
1029,0,Fulham,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,6,9,8,15,9,1,3,3,3,3,0,1,1,1,1,14.0,3.0,4,3,5,6,6,5,5,3,0,0,1,0,0,0,0,0,0,0,1,0
1030,0,Aston Villa,Everton,0,0,0,0,0,0,0,0,0,1,0,0,2,4,2,4,5,5,9,9,1,1,1,0,0,3,3,0,0,1,16.0,7.0,3,3,4,5,4,4,4,3,0,0,0,0,1,1,0,0,1,1,0,0
1031,0,Bolton,Birmingham,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,6,8,8,16,0,1,1,1,1,0,1,3,3,3,17.0,13.0,3,3,4,4,3,5,5,3,0,0,0,0,1,0,0,0,1,0,0,1
1032,1,Chelsea,Man City,1,0,0,0,0,0,0,0,1,0,0,0,4,1,4,4,10,8,20,15,0,3,1,0,3,1,3,1,3,3,4.0,9.0,4,4,4,5,5,4,4,3,0,0,1,1,0,0,0,0,1,1,1,1
1033,1,Liverpool,Leeds,0,0,0,0,0,0,1,0,1,0,0,0,1,4,0,3,6,3,11,8,0,0,0,3,0,0,3,0,3,0,5.0,15.0,3,3,5,5,5,5,6,3,0,0,0,0,0,1,0,0,1,0,0,0
1034,0,Man United,Fulham,0,0,0,0,0,0,0,0,1,0,0,0,4,1,9,4,13,8,22,15,3,0,3,1,3,3,1,3,3,1,1.0,14.0,4,3,5,6,6,4,5,3,0,0,1,1,0,1,0,0,0,0,1,1
1035,1,Newcastle,Portsmouth,0,0,0,0,0,0,0,0,0,0,0,1,1,1,9,3,10,4,12,12,3,3,3,0,3,0,0,0,1,1,3.0,18.0,3,3,4,5,4,5,5,3,0,0,0,0,1,0,0,0,0,0,1,1
1036,1,Southampton,Blackburn,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,7,3,13,8,1,0,0,0,0,0,3,3,3,0,8.0,6.0,3,3,5,5,5,4,5,3,0,0,0,1,0,1,0,0,0,1,1,0
1037,1,Wolves,Leicester,0,0,0,0,0,0,0,0,0,0,1,1,1,5,5,0,5,3,6,5,1,0,3,0,1,0,0,0,0,3,18.0,18.0,2,3,4,5,5,4,4,3,0,0,0,0,1,1,0,0,0,0,0,0
1038,0,Charlton,Arsenal,0,0,0,0,0,0,0,0,0,1,0,0,1,0,9,9,9,11,14,23,3,3,3,3,3,3,0,1,0,1,12.0,2.0,3,4,4,4,3,4,4,3,0,0,1,1,1,0,0,0,0,0,1,2
1039,0,Tottenham,Middlesbrough,0,0,0,0,0,0,0,0,1,0,0,0,2,2,7,3,7,6,11,7,3,0,3,0,1,3,0,3,0,0,10.0,11.0,3,3,5,5,5,4,4,3,0,0,0,0,1,1,0,0,0,0,0,0
1040,0,Everton,Chelsea,0,0,0,0,0,0,0,0,1,1,0,0,2,1,2,4,5,10,10,23,1,3,1,0,0,1,3,3,0,3,7.0,4.0,3,4,4,4,2,4,4,3,0,0,0,1,1,0,0,0,1,1,0,2
1041,0,Leeds,Arsenal,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,7,3,11,8,24,0,1,0,3,3,3,0,3,0,1,15.0,2.0,3,4,3,4,1,4,4,3,0,0,0,1,1,0,0,0,0,1,0,2
1042,1,Man United,Portsmouth,0,0,0,0,0,0,1,0,1,0,0,1,3,2,6,3,10,3,22,12,0,0,3,3,3,0,3,0,1,0,1.0,18.0,4,3,5,6,6,5,5,3,0,0,1,0,0,1,0,0,0,1,1,1
1043,1,Middlesbrough,Wolves,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,7,7,8,8,9,1,3,0,1,0,3,3,1,3,0,11.0,18.0,3,2,5,5,4,5,5,3,0,0,0,0,1,1,0,0,0,0,0,0
